index,node_i,node_j,voltage,circuits,dc,x,r,capacity
LTGES0001a,ES00001,ES00002,220,2,f,1.63744,0.3264,983.1120383760947
LTGES0001b,ES00001,ES00002,220,2,f,1.63744,0.3264,983.1120383760947
LTGES0002a,ES00738,ES01104,220,2,f,0.81872,0.1632,983.1120383760947
LTGES0002b,ES00738,ES01104,220,2,f,0.81872,0.1632,983.1120383760947
LTGES0003a,ES00003,ES00005,220,2,f,1.3966399999999999,0.2784,983.1120383760947
LTGES0003b,ES00003,ES00005,220,2,f,1.3966399999999999,0.2784,983.1120383760947
LTGES0004a,ES00007,ES00009,400,2,f,17.58654,2.1447,3574.952866822163
LTGES0004b,ES00007,ES00009,400,2,f,17.58654,2.1447,3574.952866822163
LTGES0005,ES00010,ES00870,400,1,f,0.09102,0.011099999999999999,1787.4764334110814
LTGES0006,ES00015,ES00687,220,1,f,0.602,0.12,491.55601918804734
LTGES0007,ES00687,ES00016,220,1,f,1.78493,0.35579999999999995,491.55601918804734
LTGES0008,ES00016,ES00931,220,1,f,7.6754999999999995,1.53,491.55601918804734
LTGES0009a,ES00014,ES00017,400,2,f,52.20858,6.366899999999999,3574.952866822163
LTGES0009b,ES00014,ES00017,400,2,f,52.20858,6.366899999999999,3574.952866822163
LTGES0010a,ES00019,ES00021,400,2,f,3.4759800000000003,0.4239,3574.952866822163
LTGES0010b,ES00019,ES00021,400,2,f,3.4759800000000003,0.4239,3574.952866822163
LTGES0011a,ES00018,ES01080,220,2,f,3.53675,0.705,983.1120383760947
LTGES0011b,ES00018,ES01080,220,2,f,3.53675,0.705,983.1120383760947
LTGES0012a,ES01080,ES00022,220,2,f,0.8427999999999999,0.16799999999999998,983.1120383760947
LTGES0012b,ES01080,ES00022,220,2,f,0.8427999999999999,0.16799999999999998,983.1120383760947
LTGES0013a,ES00018,ES01103,220,2,f,1.77891,0.35459999999999997,983.1120383760947
LTGES0013b,ES00018,ES01103,220,2,f,1.77891,0.35459999999999997,983.1120383760947
LTGES0014,ES00023,ES00015,220,1,f,4.770849999999999,0.951,491.55601918804734
LTGES0015a,ES00013,ES00024,220,2,f,6.032039999999999,1.2024,983.1120383760947
LTGES0015b,ES00013,ES00024,220,2,f,6.032039999999999,1.2024,983.1120383760947
LTGES0016a,ES00299,ES00024,220,2,f,1.3605199999999997,0.27119999999999994,983.1120383760947
LTGES0016b,ES00299,ES00024,220,2,f,1.3605199999999997,0.27119999999999994,983.1120383760947
LTGES0017,ES00025,ES00026,220,1,f,12.39819,2.4713999999999996,491.55601918804734
LTGES0018,ES00026,ES00713,220,1,f,23.05961,4.5966,491.55601918804734
LTGES0019a,ES00029,ES00031,400,2,f,0.75768,0.0924,3574.952866822163
LTGES0019b,ES00029,ES00031,400,2,f,0.75768,0.0924,3574.952866822163
LTGES0020a,ES00033,ES00029,400,2,f,0.63468,0.0774,3574.952866822163
LTGES0020b,ES00033,ES00029,400,2,f,0.63468,0.0774,3574.952866822163
LTGES0021a,ES00035,ES00036,400,2,f,55.93548,6.8214,3574.952866822163
LTGES0021b,ES00035,ES00036,400,2,f,55.93548,6.8214,3574.952866822163
LTGES0022,ES00037,ES00039,400,1,f,15.44634,1.8837,1787.4764334110814
LTGES0023,ES00041,ES00043,400,1,f,16.531200000000002,2.016,1787.4764334110814
